"Description"
"An application to be a Newsboy for the Afro-American submitted by Mrs. C. B. Berry."
"A blank Lighthouse and Informer receipt."
"A solicitor's record, home office order, and subscriber's report made by the Lighthouse."
"The back of a remittance envelope for the Lighthouse."
"The front of a Lighthouse remittance envelope."
"An ad about the Chicken Special for the Pig Trail Inn."
"A letter from Harold R. Washington about the Lighthouse and Harold's Tailoring."
"A prospectus of the Lighthouse with permanent publication schedules, operational procedures, and planned promotions."
"Temporary and Permanent Operating Costs including office printing supplies, rent, phone, heat, travel commissions, printing, manager, bookkeeper, advertising manager, editorial department, circulation department, weekly printing, and license."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Kennedy and Mr. Coleman with three names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Alexander with two names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Brown with fourt names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Brown with four names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Kennedy with six names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Woods with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Williams with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Miller with four names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Lybraud with two names."
"The Lighthouse Data Ad Sales People including the first edition report, rates, measurements, deadlines, market, and staff and personnel."
"A letter from the Lighthouse to John H. McCray about the Lighthouse including publishing, subscription rates, advertising rates, and deadlines."
"A business card for John H. McCray, editor and publisher, of the Lighthouse."
"A letter from Lighthouse Editorials about surrending ro race mongering."
"A data sheet for ad sales people about the Lighthouse with a first edition report, rates, measurements, deadlines, market, staff, and personnel."
"A statement form for the service, edition, and charges for the Lighthouse."
"A business card for the Lighthouse."
"A blank letter form from the Lighthouse Executive Office."
"An envelope from the Lighthouse."
"A blank newspaper order form from the Lighthouse."
"A document listing the different papers, trains, and zones in South Carolina."
"A card detailing the rates for the Lighthouse including advertising space, deadlines, mechanics, and subscriptions."
""
"A letter from Franklin H. Whittaker to Mr. John McCray, Sr. about McCray's circulation work and his pay."
"Afro-American $1,000 Carrier Contest entry form for Lonnie Brown. The contest states you can win an RCA Television, English bike, 25 dollar savings bonds or cash prizes if you agree to take the AFRO from your local carrier for the next 13 weeks."
"Afro-American $1,000 Carrier Contest entry form for W. N. Pearson. The contest states you can win an RCA Television, English bike, 25 dollar savings bonds or cash prizes if you agree to take the AFRO from your local carrier for the next 13 weeks."
"Afro-American $1,000 Carrier Contest entry form for Mrs. Louise Conyers. The contest states you can win an RCA Television, English bike, 25 dollar savings bonds or cash prizes if you agree to take the AFRO from your local carrier for the next 13 weeks."
"Afro-American $1,000 Carrier Contest entry form for James King. The contest states you can win an RCA Television, English bike, 25 dollar savings bonds or cash prizes if you agree to take the AFRO from your local carrier for the next 13 weeks."
"Afro-American $1,000 Carrier Contest entry form for Roosevelt McDonald. The contest states you can win an RCA Television, English bike, 25 dollar savings bonds or cash prizes if you agree to take the AFRO from your local carrier for the next 13 weeks."
"Afro-American $1,000 Carrier Contest entry form for Junior Bowman. The contest states you can win an RCA Television, English bike, 25 dollar savings bonds or cash prizes if you agree to take the AFRO from your local carrier for the next 13 weeks."
"Afro-American $1,000 Carrier Contest entry form for Mrs. Lizzie Burgress. The contest states you can win an RCA Television, English bike, 25 dollar savings bonds or cash prizes if you agree to take the AFRO from your local carrier for the next 13 weeks."
"Afro-American $1,000 Carrier Contest entry form for William Brailsford (?). The contest states you can win an RCA Television, English bike, 25 dollar savings bonds or cash prizes if you agree to take the AFRO from your local carrier for the next 13 weeks."
"Afro-American $1,000 Carrier Contest entry form for Elsie Smith. The contest states you can win an RCA Television, English bike, 25 dollar savings bonds or cash prizes if you agree to take the AFRO from your local carrier for the next 13 weeks."
"Afro-American $1,000 Carrier Contest entry form for Celestine Parson. The contest states you can win an RCA Television, English bike, 25 dollar savings bonds or cash prizes if you agree to take the AFRO from your local carrier for the next 13 weeks."
"Memo from Mahlon Oswell to John H. McCray forwarding a new account record"
"Letter from Samuel R. Higgins to Mr. Arthur Aiken announcing receipt and consideration of his letter"
"Letter from City Auditor Monroe S. David to Mrs. Andrew Simkins of Lighthouse Publishing requesting a refund for an overpayment made for an advertisement"
"List of South Carolina new agents for the week ending January 22, 1955 attached to memo from Mahlon Oswell to John H. McCray"
"McCray's notes about reinstatements and changes"
"Change sheet listing weekly comparisons by agent in South Carolina"
"Letter from W. D. Workman Jr. to John H. McCray requesting an interview for a story on the Lighthouse and Informer"
"Afro-American Daily Report Form listing McCray's location and work activities for January 28, 1955"
"Afro-American Daily Report Form listing McCray's location and work activities for February 2, 1955"
"Afro-American Daily Report Form listing McCray's location and work activities for January 31, 1955"
"Afro-American Daily Report Form listing McCray's location and work activities for February 1, 1955"
"Afro-American Daily Report Form listing McCray's location and work activities for January 27, 1955"
"Memo from John McCray to Mahlon Oswell listing and discussing delinquent advertising accounts"
"Letter from John H. McCray to Mr. B. F. Boyd proposing an arrangement between Boyd's company and the Afro-American"
"Letter from John H. McCray to Mr. J. D. McGhee of Palmetto Scholastic Press applying for an award"
"Memo from John H. McCray to James H. Murphy summarizing the week's worth and listing account changes"
"Telegram from Carl Murphy of the Afro-American to John McCray requesting he call the office immediately"
"Letter from J. D. McGhee to John H. McCray, Editor for the South Carolina Edition of African American newspapers;Black newspapers, responding to his partnership suggestions"
"Card issued by Victory Savings Bank to indicate that an account has been closed attached to a check stub"
"Check from John McCray to African American newspapers;Black newspapers"
"Letter from Mrs. G. E. Nelson to Samuel R. Higgins requesting an update on her repayment situation for 14 months of unpaid rent"
"Newspaper space order for the Lighthouse and Informer through the First National Bank of Boston"
"Letter from Samuel R. Higgins to Mrs. G. E. Nelson explaining the Lighthouse and Informer's current financial situation"
"Memo from Mahlon Oswell to John H. McCray updating him on a returned check and subsequent money order"
"Memo from John H. McCray to James H. Murphy summarizing the day's work and listing new accounts"
"Memo from John H. McCray to James H. Murphy summarizing the week's work and listing new accounts"
"Letter from Geneva Zimmerman to Samuel R. Higgins reminding him of a commitment"
"Letter from Milton Howard of Masses & Mainstream to John H. McCray suggesting a story for the Afro-American"
"Memo from John H. McCray to James H. Murphy summarizing the work completed the week of March 5, 1955 and listing new accounts"
"Afro-American Daily Report Form listing McCray's location and work activities for March 7, 1955"
"Afro-American Daily Report Form listing McCray's location and work activities for March 9, 1955"
"Letter, March 1955, from Samuel R. Higgins to Mrs. Geneva Zimmerman responding to her inquiry"
"Letter from John Bolt Culbertson to John H. McCray offering support and advice for a potential business endeavor"
"Memo from John H. McCray to James H. Murphy summarizing the work completed the week ending March 19, 1955 includes production updates"
"Letter from Eddie Able expressing interest in a Negro magazine for South Carolina"
"Memo from John H. McCray to James H. Murphy summarizing the work completed the week ending March 23, 1955 includes a list of new accounts"
"Memo from John H. McCray to D. Arnett Murphy providing copy of an advertisement to insert into the South Carolina edition of the Afro-American newspaper"
"Memo from John H. McCray to James H. Murphy summarizing the work completed the week ending March 28, 1955 includes a list of new accounts"
"Memo from John H. McCray to James H. Murphy summarizing the work completed the week ending March 29, 1955 includes a list of new accounts"
"Memo from John H. McCray to James H. Murphy summarizing the work completed the week ending April 1, 1955 includes a list of new accounts"
"Memo from John H. McCray to James H. Murphy regarding the telephone company account"
"Memo from John H. McCray to Mahlon Oswell listing enclosed circulation and advertising payments"
"Letter from Margaret J. Butcher of the Washington D.C. Board of Education to John H. McCray thanking him for a positive article in the April 5 issue of Afro-American Newspaper"
"Memo from John H. McCray to James H. Murphy summarizing the work completed the week ending April 8, 1955 includes account changes"
"Memo from John H. McCray to James H. Murphy summarizing the week's work and account changes"
"Memo from John H. McCray to James H. Murphy responding to several points from a previous memo"
"Letter from Samuel R. Higgins to Attorney Harold Boulware addressing a conflict with a summons to appear in court"
"Text copy of article entitled """"Bandung Ovation Greets Call for MRA"""" from the Moral Re-Armament News Bureau in Los Angeles, California"
"Letter from John H. McCray to Loan Department at the Farmers and Merchants Bank addressing a miscommunication about a payment"
"Memo from John H. McCray to unknown sender (possibly James H. Murphy) discussing work in the Charleston and Columbia areas. Page 2 (page 1 is missing)"
"Memo from James H. Murphy to Messrs. Walker, Hillen, Lee, Gillespie, Gray, McCray, Haynes and Wells comparing Jet and Ebony magazines"
"Letter from John H. McCray to James H. Murphy discussing an out-of-state trip and its effect on his work for the newspaper"
"List of addresses and monetary amounts titled """"Final Out Sheet"""""
"List of addresses consistent with previous new account listings"
"Reinstate change sheet with one name listed"
"Memo from John H. McCray to James H. Murphy discussing the PSPA Plaque"
"Memo from John H. McCray to James H. Murphy summarizing the work completed the week ending April 28, 1955 includes a list of new accounts"
"Memo from John H. McCray to James H. Murphy summarizing the work completed the week ending May 5, 1955"
"Letter from Leon S. Lewis of the National Negro Independent Civic & Political Association to the Publisher of the Lighthouse and Informer requesting a position on their staff"
"Letter from H. Talcott Stith, Jr., of Derrick, Stubbs, and Stith to Mrs. G. E. Nelson requesting settlement of payments related to the Lighthouse and Informer"
"Tax bill from the City of Columbia to the Lighthouse and Informer announcing taxes due"
"Letter from Rev. R. R. Renwick requesting a subscription to the newspaper"
"Letter from P. R. Jervay of the Carolinian to John H. McCray outlining a proposal for expanded publication of the Carolinian"
"Press release announcing membership contests for the International Association of Personnel in Employment Security created by Informational Services at S.C. Employment Security Commission"
"Newspaper business list, etc."
"Letter from P. R. Jervay, Publisher of the Carolinian, to John H. McCray continuing a discussion of publication options and inviting him to Raleigh, North Carolina"
"Letter from Mrs. G. E. Nelson to Samuel R. Higgins requesting updated information on the closure of the Lighthouse business"
"Letter from Samuel R. Higgins to Mrs. G. E. Nelson providing updates on the closure of the Lighthouse business"
"Memo from James H. Murphy to Messrs. Gillespie and McCray discussing implementation of a new delivery system for the African American newspapers;Black newspapers"
"Business reply mail postcard for subscriptions to the Afro-American"
"Memo from James H. Murphy to John H. McCray about an attached correspondence with a Mr. Rice discussing business in Charleston, message"
"Attached correspondence with a Mr. Rice discussing business in Charleston attached to memo from James H. Murphy, page 1"
"Attached correspondence with a Mr. Rice discussing business in Charleston attached to memo from James H. Murphy, page 2"
"Memo from James H. Murphy to John H. McCray discussing his correspondence with Mr. Rice in Charleston"
"Memo from James H. Murphy to Messrs. Gillespie and McCray discussing losses related to circulation rates"
"Audit report of the Afro-American Company (National Edition) for the 12 months prior to September 30, 1955"
"Memo from John H. McCray to James H. Murphy discussing the ramifications of a returned check"
"Telegram from John H. McCray to a friend discussing his plans following the closure of the Lighthouse and Informer"
"Back of first page of telegram listing company terms for messages"
"Back of second page of telegram listing company terms for messages"
"Back of third page of telegram listing company terms for messages"
"Memo from John H. McCray to Marion Street Food Store discussing an American Express Co. money order"
"Letter from Lt. Col. John E. Morrison Jr. to John D. Marshall congratulating him on being selected as the Honor Airman of the Month"
"News bulletin announcing John D. Marshall's selection as Honor Airman of the Month"
"Letter from Lt. Col. John E. Morrison Jr. to Mrs. Clementine Marshall congratulating her on her husband's success and honor"
"Memo from John H. McCray to James H. Murphy listing S.C. circulation contest standings"
"Memo from John H. McCray to James H. Murphy discussing business options for the Charleston area"
"John McCray's description of Robert Snowden's account with Columbia City Papers"
"Memo from John H. McCray to James H. Murphy, report and commentary on City of Columbia newspaper accounts"
"Advertising order for the Afro-American Company"
"Check from John H. McCray to John H. Wrighten for Afro Charleston license"
"Editorial Reprints from The Petal Paper (Petal, Mississippi) and Personal Comments by P. D. East, Editor"
"Cover letter to Honorable L. Howard Bennett enclosed with Vita Sheet"
"Resume-summary Vita Sheet"
"4 page report on The McCray Family"
"Photo copy of marriage certificate, possibly from family Bible"
"Photo copy of list of births in the McCray Family, possibly from a family Bible"
"9 page Application for Federal Employment"
"South Carolina driver's license, issued March 14, 1957"
"Business card from Pittsburg Courier"
"South Carolina fishing license, issued May 25, 1951, front"
"South Carolina fishing license, issued May 25, 1951, back"
"South Carolina fishing license, issued July 11, 1952, front"
"South Carolina fishing license, issued July 11, 1952, back"
"Membership card for Omega Psi Phi Fraternity, Inc. issued January 1, 1956"
"Afro-American employee identification card, front"
"Afro-American employee identification card, back"
"Enrollment certificate for the National Democratic Party, issued"
"Membership card for Democratic National Committee"
"Single page resume with """"copy"""" printed down left hand margin"
"Single page resume, torn in half and repaired with tape"
"Check stub for $15.00"
"Resume, page 1"
"Resume, page 2"
"Resume, list of references, page 3"
"Memorandum calling for greater registration of African Americans ahead of the 1964 election"
"Federal Employment Application"
"Single page resume"
"List of references"
"List of memberships and political affiliations"
"List of civic and political organization experience"
"List of membership positions"
"Resume-Vita Sheet, page 1 of 2"
"Resume-Vita Sheet, page 2 of 2"
"South Carolina vehicle registration card, front"
"South Carolina vehicle registration card, back"
"Bibliography of books in John McCray's collection"
"Diploma, 1935, Bachelor of Arts Degree from Talladega College"
"Protective folder for hunting and fishing licenses"
"Fishing license, side 1"
"Fishing license, side 2"
"Press Correspondent Card from Afro-American, side 1"
"Press Correspondent Card from Afro-American, side 2"
"Richland County Health Department certificate canine of rabies vaccination"
"Automobile insurance card"
"Afro-American Press Correspondent card"
"N.A.A.C.P. membership card, 1951"
"Summons, City of Andrews, South Carolina"
"Summons, City of Camden, South Carolina"
"Summons, South Carolina Highway Patrol"
"South Carolina Highway Patrol warning, front"
"South Carolina Highway Patrol warning, back with notes"
"Receipt, City of Columbia Police Department"
"Traffic violation notice, Metropolitain Police Department Washington D.C., Side 1"
"Traffic violation notice, Metropolitain Police Department Washington D.C., Side 2"
"Southern Automobile Association membership card, page 1"
"Southern Automobile Association membership card, page 2"
"Southern Automobile Association membership card, page 3"
"Torn Richland County voter registration certificate"
"Receipt from St. Eugene Hospital for $10.00 for x-ray of left ankle"
"Afro-American Press Correspondent card, side 1"
"Afro-American Press Correspondent card, side 2"
"Membership card for Omega Psi Phi Fraternity, Inc. issued January 1, 1953"
"Business card from South Carolina Afro-American, front"
"Business card from South Carolina Afro-American, back with notes"
"Business card from South Carolina Afro-American"
"Business card from Pittsburg Courier-Carolina Edition"
"Business card from Pittsburg Courier-Carolina Edition, front"
"Business card from Pittsburg Courier-Carolina Edition, back with notes"
"Letter from John Henry McCray, State Chairman of the Progressive Democratic Party (S.C.), to the County Chairman of the Progressive Democratic Party (S.C.) about party contributions, dated October 6, 1944, from the Progressive Democratic Party at 1022 1/2 Washington Street, Columbia 20, S.C."
"Cash sale receipt for $17.05 from The R. L. Bryan Company (Columbia, S.C.), no. 26873, October 2, 1944."
"Copy instructions from John Henry McCray (1910-1987) to Cary Printing Company, phone 3609, 1216 Sumter Street, Columbia S.C."
"Note reading """"Use some electors as white Democrats"""" from J.C. Artemus, treasurer of the Progressive Democratic Party (S.C.), October 5, 1944"
"Letter from John Henry McCray, State Chairman of the Progressive Democratic Party (S.C.), to his co-workers of the Progressive Democratic Party (S.C.), dated October 2, 1944, from the Progressive Democratic Party at 1022 1/2 Washington Street, Columbia 20, S.C."
"Letter from Dr. R. J. Wilson, 174 1/2 N Dorgan St., Florence, S.C., to John Henry McCray (1910-1987) about the Rally for Osceola Enoch McKaine (1892-1955) in Florence, S.C., October 8, 1944, page 1 of 3"
"Letter from Dr. R. J. Wilson, 174 1/2 N Dorgan St., Florence, S.C., to John Henry McCray (1910-1987) about the Rally for Osceola Enoch McKaine (1892-1955) in Florence, S.C., October 8, 1944, page 2 of 3"
"Letter from John Henry McCray (1910-1987) to Richard E. Broome, with a notice of intention to challenge the General Election held on Tuesday, November 7, 1944; November 8, 1944."
"Letter from John Henry McCray (1910-1987) to Richard E. Broome, responding to a letter about appearing before the Federal and State Election Commissioners about challenging the General Election of November 7, 1944; November 14, 1944."
"Letter from John Henry McCray (1910-1987) to his co-workers of the Progressive Democratic Party regarding challenging the General Election of November 7, 1944; November 18, 1944."
"Letter from John Henry McCray (1910-1987) to Thurgood Marshall (1908-1993) on following the course of legal action to contest the seating of Governor Olin D. Johnston, November 22, 1944"
"The South Carolina Colored Democratic Party, Organizational Plans formed by The Lighthouse and Informer as a public service, page 1 of 4"
"The South Carolina Colored Democratic Party, Organizational Plans formed by The Lighthouse and Informer as a public service, page 2 of 4"
"The South Carolina Colored Democratic Party, Organizational Plans formed by The Lighthouse and Informer as a public service, page 3 of 4"
"The South Carolina Colored Democratic Party, Organizational Plans formed by The Lighthouse and Informer as a public service, page 4 of 4"
"The South Carolina Colored Democratic Party, Organizational Plans formed by The Lighthouse and Informer as a public service (draft), page 1 of 3"
"The South Carolina Colored Democratic Party, Organizational Plans formed by The Lighthouse and Informer as a public service (draft), page 2 of 3"
"The South Carolina Colored Democratic Party, Organizational Plans formed by The Lighthouse and Informer as a public service (draft), page 3 of 3"
"Press release on the newly organized Colored Democratic Party of South Carolina (draft), 1944, page 1 of 5"
"Press release on the newly organized Colored Democratic Party of South Carolina (draft), 1944, page 2 of 5"
"Press release on the newly organized Colored Democratic Party of South Carolina (draft), 1944, page 3 of 5"
"Press release on the newly organized Colored Democratic Party of South Carolina (draft), 1944, page 4 of 5"
"Press release on the newly organized Colored Democratic Party of South Carolina (draft), 1944, page 5 of 5"
"Letter to John Henry McCray (1910-1987) from T. M. Wannamaker (famous cotton seed, soy beans, seed oats), about the voting rights of African-Americans in South Carolina, October 8, 1944, page 1 of 2"
"Letter to John Henry McCray (1910-1987) from T. M. Wannamaker (famous cotton seed, soy beans, seed oats), about the voting rights of African-Americans in South Carolina, October 8, 1944, page 2 of 2"
"Letter to John Henry McCray (1910-1987) and Osceola Enoch McKaine (1892-1955) from T. M. Wannamaker about his potential candidacy for Congress and his support for African-Americans' suffrage, October 8, 1944"
"Letter to the editor from T. M. Wannamaker about race relations and African-Americans' suffrage, October 8, 1944, page 1 of 4"
"Letter to the editor from T. M. Wannamaker about race relations and African-Americans' suffrage, October 8, 1944, page 2 of 4"
"Letter to the editor from T. M. Wannamaker about race relations and African-Americans' suffrage, October 8, 1944, page 3 of 4"
"Letter to the editor from T. M. Wannamaker about race relations and African-Americans' suffrage, October 8, 1944, page 4 of 4"
"Program for a luncheon in honor of Mrs. Franklin Delano Roosevelt at the Hotel Commodore, with an invocation of the National Anthem by Mr. Aubrey Pankey and a list of guest speakers, October 9, 1944, page 1 of 3"
"Program for a luncheon in honor of Mrs. Franklin Delano Roosevelt at the Hotel Commodore, with the poem """"A Pledge for American Women"""" and a cartoon about registering to vote, October 9, 1944, page 2 of 3"
"Program for a luncheon in honor of Mrs. Franklin Delano Roosevelt at the Hotel Commodore, with the Executive Committee of the Women's Division for New York, October 9, 1944, page 3 of 3"
"Delivery Receipt for 12 packages of ballots for the 3rd District delivered to the Progressive Democratic Party (S.C.) from Cary Printing Company (Columbia, S.C.), Columbia, S.C., October 11, 1944"
"Delivery Receipt for 3 packages of 1500 items delivered to the Progressive Democratic Party (S.C.) from Cary Printing Company (Columbia, S.C.), Columbia, S.C., October 11, 1944"
"Delivery Receipt for job no. 57199 of 56 packages of ballots for the 2nd and 6th Districts delivered to the Progressive Democratic Party (S.C.) from Cary Printing Company (Columbia, S.C.), Columbia, S.C., October 11, 1944"
"Delivery Receipt for job no. 57199 of 14 packages of ballots -- Joseph Raleigh Bryson -- 4th District delivered to the Progressive Democratic Party (S.C.) from Cary Printing Company (Columbia, S.C.), Columbia, S.C., October 11, 1944"
"Delivery Receipt for job no. 57199 of 18 packages of ballots for the 5th District -- Richards -- delivered to the Progressive Democratic Party (S.C.) from Cary Printing Company (Columbia, S.C.), Columbia, S.C., October 11, 1944"
"Letter from [illegible] to John Henry McCray (1910-1987) about a check from the writer's cousin in the Admiralty Islands, Southern Regional Magazine, and Osceola Enoch McKaine (1892-1955), with regards from Jules and Max, Thursday, October 12, 1944"
"Letter from Sgt. David A. Williams (A. S. N. 14177558) (H. & S. Co., 1700th Endr. C. Bn, Fort Jackson, S. C.) to John Henry McCray (1910-1987) (1022 1/2 Washinton St., Columbia, S. C.) requesting a Progressive Democratic Party absentee ballot, October 15, 1944"
"Order for Station Time, Radio Station WIS, for the advertiser Progressive Democratic Party (John Henry McCray, State Chairman) for political talk, 15 minutes from 7:30-7:45 PM on Wednesday, October 25, and 6:45-7:00 PM on Saturday, November 4, for a total of $271.88, Columbia, S. C. October 17, 1944"
"Order for Station Time (Terms & Conditions), Radio Station WIS, for the Progressive Democratic Party (John Henry McCray, State Chairman), October 17, 1944, page 2 of 2"
"Letter from J. B. McBride, Clarendon County Chairman of the Progressive Democratic Party (S.C.), to John Henry McCray (1910-1987), State Chairman, about having Osceola Enoch McKaine (1892-1955) speak to two groups, one at Manning, S.C. and one at the Malina Church in Sardinia, S.C., (sponsored by the NAACP), October 17, 1944"
"Letter from Bindley C. Cyrus (Law Offices Brown, Brown, Cyrus & Greene of Chicago, Illinois) to John Henry McCray (1910-1987), October 19, 1944"
"Treasurer's (Progressive Democratic Party, S.C.) note about a payment of five and 50/100 dollars to John Henry McCray (1910-1987), October 21, 1944"
"An affidavit by Modjeska Monteith Simkins (1899-1992) about the wrongful procedures of the polling place for Ward 4 (and others), Columbia, S.C. in the 1944 election, particularly concerning ballot availability for parties other than the Democratic Party and erroneous polling practices, November, 20, 1944, page 1 of 4"
"An affidavit by Modjeska Monteith Simkins (1899-1992) about the wrongful procedures of the polling place for Ward 4 (and others), Columbia, S.C. in the 1944 election, particularly concerning ballot availability for parties other than the Democratic Party and erroneous polling practices, November, 20, 1944, page 2 of 4"
"An affidavit by Modjeska Monteith Simkins (1899-1992) about the wrongful procedures of the polling place for Ward 4 (and others), Columbia, S.C. in the 1944 election, particularly concerning ballot availability for parties other than the Democratic Party and erroneous polling practices, November, 20, 1944, page 3 of 4"
"An affidavit by Modjeska Monteith Simkins (1899-1992) about the wrongful procedures of the polling place for Ward 4 (and others), Columbia, S.C. in the 1944 election, particularly concerning ballot availability for parties other than the Democratic Party and erroneous polling practices, November, 20, 1944, page 4 of 4"
"An affidavit by William Jordan about the wrongful procedures of the polling place for Ward 2, Columbia, S.C. in the 1944 election, November, 1944"
"An affidavit by William Jordan about the wrongful procedures of the polling place for Ward 5, Columbia, S.C. in the 1944 election, circa November, 1944"
"A letter to """"Gennie"""" from """"Gertrude"""" about political parties and giving two dollars to their cause, no date, page 1 of 2."
"A letter to """"Gennie"""" from """"Gertrude"""" about political parties and giving two dollars to their cause, no date, page 2 of 2."
"Letter to the Progressive Democratic Party (S.C.) from Dr. W. M. Ratliff of Jenkins Orphanage Institute with a donation of $10, circa 1944"
"Letterhead for The Lighthouse, """"Shedding Light for a Growing Race,"""" P. O. Box 4011, Columbia, S. C. 29204"
"Note that reads """"Should corts decide against primary case Democratic Party of South Carolina is not party but 'private club'"""", circa 1944"
"A document by the Progressive Democratic Party of South Carolina about race relations and voting, especially to contest white supremacy, 1944"
"A Florida newspaper clipping, Tallahassee, Sept. 26, about the court appointment attorneys for three African-American men which resulted in death sentences, year unknown."
"A flier by the Civil Rights Defense Committee (N.Y.) reading ""Free the 18 Leaders of the Minneapolis Truckdrivers Local 544-CIO and of the Socialist Workers Party now behind prison bar sentenced under the anti-labor Smith 'Gag' Act"" and ""Free speech and labor's rights a radio address over station WEVD by James T. Farrell noted novelist and author of Stufs Lonigan, My Days of Anger, etc."", no date."
"Free Speech and Labor's Rights, an article by James T. Farrell (1904-1979), page 1 of 3, no date."
"Free Speech and Labor's Rights, an article by James T. Farrell (1904-1979), page 2 of 3, no date."
"Free Speech and Labor's Rights, an article by James T. Farrell (1904-1979), page 3 of 3, no date."
"An editorial about the Southern Democratic primaries and African-American voters, page 1 of 3, no date."
"A pamphlet about how to vote for United States military servicepeople, circa 1944, page 1 of 3."
"A pamphlet about how to vote for United States military servicepeople, circa 1944, page 2 of 3."
"A pamphlet about how to vote for United States military servicepeople, circa 1944, page 3 of 3."
"A booklet for voters about Republican presidential candidate Thomas E. Dewey, no date, page 1 of 16."
"A booklet for voters about Republican presidential candidate Thomas E. Dewey (1902-1971), no date, pages 2 and 3 of 16."
"A booklet for voters about Republican presidential candidate Thomas E. Dewey (1902-1971), no date, pages 4 and 5 of 16."
"A booklet for voters about Republican presidential candidate Thomas E. Dewey (1902-1971), no date, pages 6 and 7 of 16."
"A booklet for voters about Republican presidential candidate Thomas E. Dewey (1902-1971), no date, pages 8 and 9 of 16."
"A booklet for voters about Republican presidential candidate Thomas E. Dewey (1902-1971), no date, pages 10 and 11 of 16."
"A booklet for voters about Republican presidential candidate Thomas E. Dewey (1902-1971), no date, pages 12 and 13 of 16."
"A booklet for voters about Republican presidential candidate Thomas E. Dewey (1902-1971), no date, pages 14 and 15 of 16."
"A booklet for voters about Republican presidential candidate Thomas E. Dewey (1902-1971), no date, page 16 of 16."
"An editorial directed toward African-American voters about presidential candidates, September 30, 1944, page 1 of 3"
"An editorial directed toward African-American voters about presidential candidates, September 30, 1944, page 2 of 3"
"An editorial directed toward African-American voters about presidential candidates, September 30, 1944, page 3 of 3"
"A document listing the appointments of African-Americans made by Thomas E. Dewey (1902-1971), no date."
"Democratic Manual for the Democratic National Convention, fifth edition, copyright 1944, front cover."
"Democratic Manual for the Democratic National Convention, fifth edition, title page, 1944, page 1 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 2 and 3 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 4 and 5 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 6 and 7 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 8 and 9 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 10 and 11 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 12 and 13 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 14 and 15 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 16 and 17 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 18 and 19 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 20 and 21 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 22 and 23 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 24 and 25 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 26 and 27 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 28 and 29 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 30 and 31 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 32 and 33 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 34 and 35 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 36 and 37 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 38 and 39 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, pages 40 and 41 of 42."
"Democratic Manual for the Democratic National Convention, fifth edition, 1944, page 42 of 42."
"Post Office Department Return Receipt, Insured Parcel 14399, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel 14399, signed by T. H. Raul and Lina L. Raul, page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel 19498, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel 19498, signed by L. Lauhy, page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel 19398, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel 19398, signed by H. S. Lyk and Mrs. H. S. Lyk, page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel 19499, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
